year,first 90 deg day,last 90 deg day,total 90 deg days,first 100 deg day,last 100 deg day,total 100 deg days,last freeze,first freeze,days below freezing
1948,1948-06-17,1948-09-15,36,,,0,1948-05-10,1948-10-06,166
1949,1949-06-16,1949-09-16,20,,,0,1949-04-15,1949-10-11,150
1950,1950-06-11,1950-09-02,12,,,0,1950-05-26,1950-10-04,144
1951,1951-05-28,1951-09-11,28,,,0,1951-04-22,1951-06-02,162
1952,1952-06-07,1952-09-09,46,,,0,1952-04-23,1952-10-05,160
1953,1953-06-09,1953-09-27,31,,,0,1953-05-13,1953-10-04,147
1954,1954-05-20,1954-08-31,43,1954-06-23,1954-07-12,3,1954-05-03,1954-10-14,141
1955,1955-06-23,1955-09-16,37,,,0,1955-04-28,1955-10-23,149
1956,1956-06-03,1956-09-20,31,,,0,1956-04-24,1956-10-20,152
1957,1957-06-20,1957-08-19,24,,,0,1957-05-17,1957-10-24,155
1958,1958-06-02,1958-09-12,30,,,0,1958-04-30,1958-10-22,150
1959,1959-06-06,1959-09-08,37,,,0,1959-04-22,1959-09-29,165
1960,1960-06-17,1960-09-06,50,,,0,1960-05-01,1960-10-19,147
1961,1961-05-11,1961-08-29,31,,,0,1961-05-13,1961-09-25,168
1962,1962-05-12,1962-09-18,44,1962-08-10,1962-08-14,2,1962-04-13,1962-09-08,159
1963,1963-06-13,1963-09-18,37,,,0,1963-04-24,1963-10-27,152
1964,1964-05-17,1964-09-09,50,,,0,1964-05-12,1964-10-04,164
1965,1965-07-01,1965-08-28,22,,,0,1965-05-09,1965-09-16,149
1966,1966-06-24,1966-09-09,37,,,0,1966-05-13,1966-10-14,168
1967,1967-07-21,1967-08-25,4,,,0,1967-05-14,1967-10-16,172
1968,1968-06-03,1968-08-08,24,,,0,1968-05-19,1968-10-09,180
1969,1969-06-05,1969-08-29,34,1969-08-08,1969-08-08,1,1969-04-28,1969-10-04,165
1970,1970-06-26,1970-09-11,32,,,0,1970-05-15,1970-10-07,184
1971,1971-06-16,1971-09-13,38,1971-07-12,1971-07-17,2,1971-05-19,1971-09-17,170
1972,1972-07-08,1972-08-15,25,1972-07-30,1972-07-30,1,1972-05-03,1972-10-23,155
1973,1973-06-09,1973-08-27,33,1973-07-05,1973-07-06,2,1973-05-02,1973-10-11,158
1974,1974-05-27,1974-09-10,46,,,0,1974-04-16,1974-10-30,151
1975,1975-06-25,1975-08-31,24,,,0,1975-05-01,1975-09-20,162
1976,1976-06-10,1976-09-06,29,,,0,1976-04-18,1976-10-07,157
1977,1977-06-02,1977-09-08,33,,,0,1977-04-05,1977-10-02,134
1978,1978-06-10,1978-09-07,52,,,0,1978-05-07,1978-09-21,146
1979,1979-06-25,1979-09-09,34,,,0,1979-05-11,1979-10-22,151
1980,1980-06-05,1980-09-30,49,1980-08-06,1980-08-06,1,1980-04-14,1980-10-17,139
1981,1981-06-08,1981-09-05,43,1981-07-21,1981-07-21,1,1981-04-05,1981-10-22,115
1982,1982-06-28,1982-09-04,21,,,0,1982-05-06,1982-10-07,161
1983,1983-06-18,1983-09-07,24,,,0,1983-05-18,1983-09-20,164
1984,1984-05-23,1984-09-10,21,,,0,1984-04-30,1984-09-25,187
1985,1985-06-07,1985-08-31,35,,,0,1985-04-27,1985-09-23,161
1986,1986-06-15,1986-08-19,31,,,0,1986-04-19,1986-09-27,132
1987,1987-06-07,1987-08-21,39,,,0,1987-04-21,1987-10-09,149
1988,1988-05-16,1988-09-09,45,,,0,1988-05-03,1988-10-23,154
1989,1989-05-23,1989-09-06,38,1989-07-04,1989-07-08,5,1989-05-01,1989-10-16,146
1990,1990-06-04,1990-09-15,38,1990-06-27,1990-07-02,5,1990-05-10,1990-10-07,142
1991,1991-06-20,1991-08-27,29,1991-06-25,1991-06-25,1,1991-05-01,1991-10-05,157
1992,1992-04-30,1992-09-11,17,,,0,1992-04-25,1992-10-07,143
1993,1993-06-12,1993-09-12,34,,,0,1993-05-02,1993-09-14,156
1994,1994-05-30,1994-09-29,60,1994-06-26,1994-06-26,1,1994-04-30,1994-09-22,152
1995,1995-06-14,1995-09-05,40,,,0,1995-05-01,1995-09-20,155
1996,1996-05-15,1996-09-10,39,,,0,1996-04-29,1996-09-25,156
1997,1997-06-01,1997-08-28,26,1997-07-17,1997-07-17,1,1997-05-03,1997-10-13,160
1998,1998-06-01,1998-09-25,33,1998-07-20,1998-07-20,1,1998-04-29,1998-10-17,142
1999,1999-06-26,1999-09-01,20,,,0,1999-05-06,1999-09-28,156
2000,2000-05-06,2000-09-18,61,2000-07-07,2000-07-07,1,2000-05-13,2000-09-24,162
2001,2001-06-03,2001-09-05,49,,,0,2001-05-21,2001-10-05,158
2002,2002-05-31,2002-09-08,62,2002-07-02,2002-08-17,3,2002-05-24,2002-10-12,174
2003,2003-05-30,2003-08-28,48,2003-07-09,2003-07-25,5,2003-05-16,2003-10-14,150
2004,2004-06-07,2004-09-19,19,2004-06-08,2004-07-14,2,2004-05-13,2004-10-14,153
2005,2005-05-21,2005-09-04,36,2005-07-20,2005-07-24,5,2005-05-12,2005-10-07,166
2006,2006-05-28,2006-08-31,40,2006-07-17,2006-07-17,1,2006-05-11,2006-10-18,150
2007,2007-06-18,2007-09-04,42,,,0,2007-04-15,2007-10-16,138
2008,2008-06-11,2008-09-01,41,2008-08-02,2008-08-03,2,2008-05-14,2008-10-12,174
2009,2009-07-02,2009-08-24,15,,,0,2009-04-28,2009-10-02,166
2010,2010-05-28,2010-09-29,43,2010-07-18,2010-07-18,1,2010-05-14,2010-10-09,166
2011,2011-06-03,2011-09-02,45,,,0,2011-05-06,2011-10-18,158
2012,2012-05-23,2012-09-11,67,2012-06-19,2012-06-27,6,2012-04-28,2012-10-05,143
2013,2013-06-04,2013-09-09,51,2013-06-12,2013-07-12,2,2013-05-04,2013-10-05,176
2014,2014-06-04,2014-09-26,28,,,0,2014-05-15,2014-09-14,150
2015,2015-06-20,2015-09-17,34,,,0,2015-05-11,2015-10-28,129
2016,2016-06-11,2016-09-24,61,2016-06-22,2016-07-11,3,2016-05-03,2016-10-20,139
2017,2017-06-10,2017-09-22,59,2017-06-21,2017-07-25,5,2017-05-21,2017-10-09,149
2018,2018-05-11,2018-09-19,53,2018-06-11,2018-07-08,4,2018-04-26,2018-10-10,167
2019,2019-06-27,2019-09-16,46,2019-07-20,2019-07-20,1,2019-05-22,2019-10-10,171
2020,2020-05-20,2020-09-08,64,,,0,2020-04-19,2020-09-09,155
